"Applied filters:
machine_name starts with 'F' or starts with 'G'
date_time is on or after 11/16/2017 12:00:00 PM
table_name is nozzle
plant is 1020
machine_name is GC9",,,,,
,,,,,
Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo
0,0,0,05/02/18 02:00:02 PM,1-31,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-1,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-10,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-11,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-12,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-13,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-14,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-15,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-16,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-17,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-18,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-19,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-2,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-20,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-21,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-3,4009240377T
0.012820513,2,0.022727273,05/02/18 02:00:02 PM,2-48,4009240377T
0.006535948,1,0.023809524,05/02/18 02:00:02 PM,2-49,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-5,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-50,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-51,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-52,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-53,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-6,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-7,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-8,4009240377T
0,0,0,05/02/18 02:00:02 PM,2-9,4009240377T
0.006410256,1,0,05/02/18 02:00:02 PM,3-15,4009240377T
0.006410256,1,0,05/02/18 02:00:02 PM,3-16,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-17,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-18,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-19,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-20,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-21,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-22,4009240377T
0.012903226,2,0,05/02/18 02:00:02 PM,3-23,4009240377T
0.006493506,1,0,05/02/18 02:00:02 PM,3-24,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-25,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-26,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-27,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-28,4009240377T
0.006451613,1,0,05/02/18 02:00:02 PM,3-29,4009240377T
0.008547009,1,0,05/02/18 02:00:02 PM,3-30,4009240377T
0.008547009,1,0,05/02/18 02:00:02 PM,3-31,4009240377T
0.008547009,1,0,05/02/18 02:00:02 PM,3-32,4009240377T
0.008547009,1,0,05/02/18 02:00:02 PM,3-33,4009240377T
0,0,0,05/02/18 02:00:02 PM,4-1,4009240377T
0.00862069,1,0,05/02/18 02:00:02 PM,4-10,4009240377T
0,0,0,05/02/18 02:00:02 PM,4-11,4009240377T
0,0,0,05/02/18 02:00:02 PM,4-2,4009240377T
0,0,0,05/02/18 02:00:02 PM,4-3,4009240377T
0,0,0,05/02/18 02:00:02 PM,4-4,4009240377T
0,0,0,05/02/18 02:00:02 PM,4-5,4009240377T
0.006493506,1,0,05/02/18 02:00:02 PM,4-6,4009240377T
0.006493506,1,0,05/02/18 02:00:02 PM,4-7,4009240377T
0.006493506,1,0,05/02/18 02:00:02 PM,4-8,4009240377T
0.006493506,1,0,05/02/18 02:00:02 PM,4-9,4009240377T
0,0,0,05/02/18 02:15:02 PM,1-28,4009240377T
0,0,0,05/02/18 02:15:02 PM,1-29,4009240377T
0,0,0,05/02/18 02:15:02 PM,1-30,4009240377T
0,0,0,05/02/18 02:15:02 PM,1-31,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-1,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-10,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-11,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-12,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-13,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-14,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-15,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-16,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-17,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-18,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-19,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-2,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-20,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-21,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-3,4009240377T
0.020408163,4,0.141421356,05/02/18 02:15:02 PM,2-48,4009240377T
0.010471204,2,0.026315789,05/02/18 02:15:02 PM,2-49,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-5,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-50,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-51,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-52,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-53,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-6,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-7,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-8,4009240377T
0,0,0,05/02/18 02:15:02 PM,2-9,4009240377T
0.005181347,1,0,05/02/18 02:15:02 PM,3-15,4009240377T
0.005181347,1,0,05/02/18 02:15:02 PM,3-16,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-17,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-18,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-19,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-20,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-21,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-22,4009240377T
0.010416667,2,0,05/02/18 02:15:02 PM,3-23,4009240377T
0.005235602,1,0,05/02/18 02:15:02 PM,3-24,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-25,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-26,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-27,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-28,4009240377T
0.005208333,1,0,05/02/18 02:15:02 PM,3-29,4009240377T
0.006944444,1,0,05/02/18 02:15:02 PM,3-30,4009240377T
0.006944444,1,0,05/02/18 02:15:02 PM,3-31,4009240377T
0.006944444,1,0,05/02/18 02:15:02 PM,3-32,4009240377T
0.006944444,1,0,05/02/18 02:15:02 PM,3-33,4009240377T
0,0,0,05/02/18 02:15:02 PM,4-1,4009240377T
0.006993007,1,0,05/02/18 02:15:02 PM,4-10,4009240377T
0,0,0,05/02/18 02:15:02 PM,4-11,4009240377T
0,0,0,05/02/18 02:15:02 PM,4-2,4009240377T
0,0,0,05/02/18 02:15:02 PM,4-3,4009240377T
0,0,0,05/02/18 02:15:02 PM,4-4,4009240377T
0,0,0,05/02/18 02:15:02 PM,4-5,4009240377T
0.005235602,1,0,05/02/18 02:15:02 PM,4-6,4009240377T
0.005235602,1,0,05/02/18 02:15:02 PM,4-7,4009240377T
0.005235602,1,0,05/02/18 02:15:02 PM,4-8,4009240377T
0.005235602,1,0,05/02/18 02:15:02 PM,4-9,4009240377T
0,0,0,05/02/18 02:30:01 PM,1-28,4009240377T
0,0,0,05/02/18 02:30:01 PM,1-29,4009240377T
0,0,0,05/02/18 02:30:01 PM,1-30,4009240377T
0,0,0,05/02/18 02:30:01 PM,1-31,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-1,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-10,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-11,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-12,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-13,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-14,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-15,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-16,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-17,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-18,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-19,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-2,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-20,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-21,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-3,4009240377T
0.017094017,4,0,05/02/18 02:30:01 PM,2-48,4009240377T
0.008810573,2,0,05/02/18 02:30:01 PM,2-49,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-5,4009240377T
0.004405286,1,0.027777778,05/02/18 02:30:01 PM,2-50,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-51,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-52,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-53,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-6,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-7,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-8,4009240377T
0,0,0,05/02/18 02:30:01 PM,2-9,4009240377T
0.004310345,1,0,05/02/18 02:30:01 PM,3-15,4009240377T
0.004347826,1,0,05/02/18 02:30:01 PM,3-16,4009240377T
0.008733624,2,0.027027027,05/02/18 02:30:01 PM,3-17,4009240377T
0.008733624,2,0.027027027,05/02/18 02:30:01 PM,3-18,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-19,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-20,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-21,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-22,4009240377T
0.008733624,2,0,05/02/18 02:30:01 PM,3-23,4009240377T
0.004385965,1,0,05/02/18 02:30:01 PM,3-24,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-25,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-26,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-27,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-28,4009240377T
0.004366812,1,0,05/02/18 02:30:01 PM,3-29,4009240377T
0.005813953,1,0,05/02/18 02:30:01 PM,3-30,4009240377T
0.005813953,1,0,05/02/18 02:30:01 PM,3-31,4009240377T
0.005813953,1,0,05/02/18 02:30:01 PM,3-32,4009240377T
0.005813953,1,0,05/02/18 02:30:01 PM,3-33,4009240377T
0,0,0,05/02/18 02:30:01 PM,4-1,4009240377T
0.005847953,1,0,05/02/18 02:30:01 PM,4-10,4009240377T
0,0,0,05/02/18 02:30:01 PM,4-11,4009240377T
0,0,0,05/02/18 02:30:01 PM,4-2,4009240377T
0,0,0,05/02/18 02:30:01 PM,4-3,4009240377T
0,0,0,05/02/18 02:30:01 PM,4-4,4009240377T
0,0,0,05/02/18 02:30:01 PM,4-5,4009240377T
0.004385965,1,0,05/02/18 02:30:01 PM,4-6,4009240377T
0.004385965,1,0,05/02/18 02:30:01 PM,4-7,4009240377T
0.004385965,1,0,05/02/18 02:30:01 PM,4-8,4009240377T
0.004385965,1,0,05/02/18 02:30:01 PM,4-9,4009240377T
0,0,0,05/02/18 02:45:01 PM,1-28,4009240377T
0,0,0,05/02/18 02:45:01 PM,1-29,4009240377T
0,0,0,05/02/18 02:45:01 PM,1-30,4009240377T
0,0,0,05/02/18 02:45:01 PM,1-31,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-1,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-10,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-11,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-12,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-13,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-14,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-15,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-16,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-17,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-18,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-19,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-2,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-20,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-21,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-3,4009240377T
0.014705882,4,0,05/02/18 02:45:01 PM,2-48,4009240377T
0.00754717,2,0,05/02/18 02:45:01 PM,2-49,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-5,4009240377T
0.003773585,1,0,05/02/18 02:45:01 PM,2-50,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-51,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-52,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-53,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-6,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-7,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-8,4009240377T
0,0,0,05/02/18 02:45:01 PM,2-9,4009240377T
0.003690037,1,0,05/02/18 02:45:01 PM,3-15,4009240377T
0.003731343,1,0,05/02/18 02:45:01 PM,3-16,4009240377T
0.007490637,2,0,05/02/18 02:45:01 PM,3-17,4009240377T
0.007490637,2,0,05/02/18 02:45:01 PM,3-18,4009240377T
0.007490637,2,0.026315789,05/02/18 02:45:01 PM,3-19,4009240377T
0.003745318,1,0,05/02/18 02:45:01 PM,3-20,4009240377T
0.003745318,1,0,05/02/18 02:45:01 PM,3-21,4009240377T
0.003745318,1,0,05/02/18 02:45:01 PM,3-22,4009240377T
0.007490637,2,0,05/02/18 02:45:01 PM,3-23,4009240377T
0.003759398,1,0,05/02/18 02:45:01 PM,3-24,4009240377T
0.003745318,1,0,05/02/18 02:45:01 PM,3-25,4009240377T
