"Applied filters:
machine_name starts with 'F' or starts with 'G'
date_time is on or after 11/16/2017 12:00:00 PM
table_name is nozzle
plant is 1020
machine_name is GC3",,,,,
,,,,,
Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo
0,0,0,05/02/18 01:15:02 PM,1-32,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-33,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-34,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-35,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-36,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-37,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-38,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-39,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-40,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-41,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-42,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-46,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-62,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-63,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-64,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-65,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-66,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-67,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-68,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-69,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-70,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-43,4009240377T
0.076923077,1,0.076923077,05/02/18 01:15:02 PM,2-44,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-45,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-46,4009240377T
0.076923077,1,0.076923077,05/02/18 01:15:02 PM,2-47,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-57,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-61,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-62,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-63,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-64,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-65,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-66,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-67,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-68,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-69,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-70,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-47,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-48,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-49,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-50,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-51,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-52,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-57,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-58,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-59,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-60,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-61,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-62,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-32,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-33,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-34,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-35,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-36,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-37,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-38,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-39,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-40,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-41,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-42,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-46,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-62,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-63,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-64,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-65,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-66,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-67,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-68,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-69,4009240377T
0,0,0,05/02/18 01:30:05 PM,1-70,4009240377T
0,0,0,05/02/18 01:30:05 PM,2-43,4009240377T
0.045454545,1,0,05/02/18 01:30:05 PM,2-44,4009240377T
0,0,0,05/02/18 01:30:05 PM,2-45,4009240377T
0,0,0,05/02/18 01:30:05 PM,2-46,4009240377T
0.16,4,1.299038106,05/02/18 01:30:05 PM,2-47,4009240377T
0,0,0,05/02/18 01:30:05 PM,2-57,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-61,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-62,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-63,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-64,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-65,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-66,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-67,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-68,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-69,4009240377T
0,0,0,05/02/18 01:30:05 PM,3-70,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-47,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-48,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-49,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-50,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-51,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-52,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-57,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-58,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-59,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-60,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-61,4009240377T
0,0,0,05/02/18 01:30:05 PM,4-62,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-32,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-33,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-34,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-35,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-36,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-37,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-38,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-39,4009240377T
0,0,0,05/02/18 01:45:03 PM,1-40,4009240377T
