"Applied filters:
machine_name starts with 'F' or starts with 'G'
date_time is on or after 11/16/2017 12:00:00 PM
table_name is nozzle
plant is 1020
machine_name is GC5",,,,,
,,,,,
Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo
0,0,0,05/02/18 01:15:02 PM,1-1,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-22,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-23,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-24,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-25,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-26,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-27,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-28,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-29,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-30,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-31,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-32,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-34,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-38,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-39,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-40,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-41,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-42,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-43,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-44,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-45,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-48,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-49,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-50,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-51,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-52,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-54,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-55,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-56,4009206543T
0,0,0,05/02/18 01:15:02 PM,1-57,4009206543T
0.014492754,1,0.014492754,05/02/18 01:15:02 PM,3-1,4009206543T
0.01369863,1,0.01369863,05/02/18 01:15:02 PM,3-10,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-11,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-12,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-13,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-14,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-15,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-16,4009206543T
0.014705882,1,0.014705882,05/02/18 01:15:02 PM,3-17,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-19,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-2,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-20,4009206543T
0.014925373,1,0.014925373,05/02/18 01:15:02 PM,3-3,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-39,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-4,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-40,4009206543T
0,0,0,05/02/18 01:15:02 PM,3-7,4009206543T
0.014492754,1,0.014492754,05/02/18 01:15:02 PM,3-9,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-12,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-13,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-15,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-16,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-17,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-18,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-19,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-21,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-22,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-23,4009206543T
0,0,0,05/02/18 01:15:02 PM,4-25,4009206543T
0.005681818,1,0.017857143,05/02/18 01:30:01 PM,1-1,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-22,4009206543T
0.010526316,2,0.046367658,05/02/18 01:30:01 PM,1-23,4009206543T
0.005617978,1,0.00877193,05/02/18 01:30:01 PM,1-24,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-25,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-26,4009206543T
0.005617978,1,0.00877193,05/02/18 01:30:01 PM,1-27,4009206543T
0.005649718,1,0.008849558,05/02/18 01:30:01 PM,1-28,4009206543T
0.005649718,1,0.008849558,05/02/18 01:30:01 PM,1-29,4009206543T
0.005681818,1,0.008928571,05/02/18 01:30:01 PM,1-30,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-31,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-32,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-34,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-38,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-39,4009206543T
0.005319149,1,0.008333333,05/02/18 01:30:01 PM,1-40,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-41,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-42,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-43,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-44,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-45,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-48,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-49,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-50,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-51,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-52,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-54,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-55,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-56,4009206543T
0,0,0,05/02/18 01:30:01 PM,1-57,4009206543T
0.010582011,2,0.008333333,05/02/18 01:30:01 PM,3-1,4009206543T
0.004950495,1,0,05/02/18 01:30:01 PM,3-10,4009206543T
0.005,1,0.007874016,05/02/18 01:30:01 PM,3-11,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-12,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-13,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-14,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-15,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-16,4009206543T
0.005319149,1,0,05/02/18 01:30:01 PM,3-17,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-19,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-2,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-20,4009206543T
0.005347594,1,0,05/02/18 01:30:01 PM,3-3,4009206543T
0,0,0,05/02/18 01:30:01 PM,3-39,4009206543T
